election_id,year,type,office,state,lga,ward,candidate,party,votes,registered,accredited,valid,rejected,total_votes,turnout,source_url,result_status
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Demsa,,Bola Tinubu,APC,5746,,,32110,,32110,34.80,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Demsa,,Atiku Abubakar,PDP,17166,,,32110,,32110,34.80,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Demsa,,Peter Obi,LP,7962,,,32110,,32110,34.80,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Demsa,,Rabiu Kwankwaso,NNPP,199,,,32110,,32110,34.80,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Demsa,,Other candidates,OTHERS,1037,,,32110,,32110,34.80,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Fufore,,Bola Tinubu,APC,12633,,,40712,,40712,32.88,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Fufore,,Atiku Abubakar,PDP,26059,,,40712,,40712,32.88,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Fufore,,Peter Obi,LP,897,,,40712,,40712,32.88,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Fufore,,Rabiu Kwankwaso,NNPP,508,,,40712,,40712,32.88,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Fufore,,Other candidates,OTHERS,615,,,40712,,40712,32.88,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Ganye,,Bola Tinubu,APC,10112,,,33783,,33783,34.76,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Ganye,,Atiku Abubakar,PDP,21672,,,33783,,33783,34.76,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Ganye,,Peter Obi,LP,1069,,,33783,,33783,34.76,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Ganye,,Rabiu Kwankwaso,NNPP,191,,,33783,,33783,34.76,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Ganye,,Other candidates,OTHERS,739,,,33783,,33783,34.76,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Girei,,Bola Tinubu,APC,8531,,,30590,,30590,37.17,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Girei,,Atiku Abubakar,PDP,17557,,,30590,,30590,37.17,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Girei,,Peter Obi,LP,3748,,,30590,,30590,37.17,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Girei,,Rabiu Kwankwaso,NNPP,254,,,30590,,30590,37.17,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Girei,,Other candidates,OTHERS,500,,,30590,,30590,37.17,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Guyuk,,Bola Tinubu,APC,5904,,,28717,,28717,,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Guyuk,,Atiku Abubakar,PDP,13942,,,28717,,28717,,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Guyuk,,Peter Obi,LP,8165,,,28717,,28717,,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Guyuk,,Rabiu Kwankwaso,NNPP,91,,,28717,,28717,,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Guyuk,,Other candidates,OTHERS,615,,,28717,,28717,,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Lamurde,,Bola Tinubu,APC,3645,,,24213,,24213,38.90,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Lamurde,,Atiku Abubakar,PDP,9912,,,24213,,24213,38.90,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Lamurde,,Peter Obi,LP,9744,,,24213,,24213,38.90,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Lamurde,,Rabiu Kwankwaso,NNPP,188,,,24213,,24213,38.90,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
2023-presidential-lga-wikipedia,2023,general,President,Adamawa,Lamurde,,Other candidates,OTHERS,724,,,24213,,24213,38.90,https://en.wikipedia.org/wiki/2023_Nigerian_presidential_election_in_Adamawa_State,verified-secondary
